Name,Reason,Created time,Who lost the game
Dune,Amanda said add dune to the list then Anna remembered the game,"April 28, 2024 5:14 PM",
"Started experiment ",Decided to track game losses as data,"April 16, 2024 10:12 AM",Isabella
Posture,Associated game with good posture and thought about my posture,"April 16, 2024 4:23 PM",Isabella
Lost the blend,"We ran out of a pepper, garlic, and salt seasoning blend so I said I lost the blend","April 16, 2024 8:26 PM","Amanda, Isabella"
Hand list,Made a list of hand remaindersvehicles reminded me of the game,"April 17, 2024 2:28 PM",Isabella
Picnic day show,Thought about getting tickets to the picnic day show then remembered this list of things to do including get concert tickets,"April 17, 2024 4:34 PM",Isabella
Get wacked,"Amanda wanted to wack me with a blue stretchy thing then she thought about how losing ","April 17, 2024 6:32 PM",Amanda
Crazy arm,"George told me not to forget the crazy arm and the word forget reminded Amanda ","April 17, 2024 7:33 PM",Amanda
Your mom,"Amanda asked where her embroidery hoop was and I said in her pants ( the ones she was working on) and I said in your mom's pants ","April 17, 2024 10:03 PM",Isabella
Broken burner,Amanda touched the stove to check if its hot,"April 18, 2024 7:14 PM","Amanda, Isabella"
Posture,"I was slouching ","April 19, 2024 4:51 PM",Isabella
Theres a leak in the boat,That one scene from cloudy with a chance of meat where there's a leak in the boat,"April 21, 2024 6:13 PM",Amanda
Data processing,George was talking about information class those made nodes out of what Netflix categories were connected to eachother,"April 21, 2024 9:46 PM",Isabella
Lost needle,Lost my needle and the game,"April 22, 2024 10:31 PM",Amanda
Burrito,Thought about eating the same thing daily then though about losing the game daily,"April 23, 2024 12:47 PM",Isabella
"Posture ","Thought about posture sitting on the stairs ","April 23, 2024 2:56 PM",Isabella
Lost game anna,Do I take games too far? Anna lost,"April 24, 2024 7:57 PM",Anna
You'll stop making noises when your dead,Someone told Amanda her last words would be i just lost the game,"April 25, 2024 9:29 AM",Amanda
Tinder,I said imma say my favorite game and caitlen said she lost the game,"April 26, 2024 2:44 PM",Caitlen
Email,Amanda said remind me to send a really important email when we got back from our walk so I reminded her to lose the game,"April 26, 2024 7:59 PM",Isabella
Biting,Something bit Amanda and she remembered when she got bit by a person then list the game,"April 27, 2024 11:00 AM",Amanda
Blue book,I wrote on my hand that I needed to remember a blue book for Thursday then I remembered to lose the game,"April 29, 2024 6:24 AM",Isabella
Export Data,Exported data for project and lost the game,"April 30, 2024 8:25 AM",Isabella